,O*NET-SOC Code,Probability 
0,11-1011.00,0.0763106093402704
1,11-1011.03,0.36063672853870865
2,11-1021.00,0.3545416461688904
3,11-2011.00,0.2729881453183824
4,11-2021.00,0.23663135318938341
5,11-2022.00,0.20237253243144138
6,11-2031.00,0.25307615052018245
7,11-3011.00,0.3854938843379172
8,11-3021.00,0.31992246257020823
9,11-3031.01,0.4888205637682775
10,11-3031.02,0.31315987147377833
11,11-3051.00,0.1704271746594495
12,11-3051.01,0.33101499009559354
13,11-3051.02,0.29572722373091126
14,11-3051.03,0.322741838414433
15,11-3051.04,0.2768243589748534
16,11-3051.06,0.2513837170508526
17,11-3061.00,0.32820216250251
18,11-3071.01,0.31468110927091175
19,11-3071.02,0.3792374980002032
20,11-3071.03,0.40571505310724415
21,11-3111.00,0.5465158743554229
22,11-3121.00,0.20806999992010913
23,11-3131.00,0.26440049068126376
24,11-9013.01,0.298527818916414
25,11-9013.02,0.24893983435875136
26,11-9013.03,0.32368079314116205
27,11-9021.00,0.32609989702894415
28,11-9031.00,0.21436539033802104
29,11-9032.00,0.15570187005620395
30,11-9033.00,0.3022512558164735
31,11-9039.01,0.33114245774247986
32,11-9039.02,0.15213697149841265
33,11-9041.00,0.17195036504825822
34,11-9041.01,0.2312172453995034
35,11-9051.00,0.28450134263185095
36,11-9061.00,0.25887720542381665
37,11-9071.00,0.39506929012917175
38,11-9081.00,0.11930933345302884
39,11-9111.00,0.3648846753706779
40,11-9121.00,0.33541135991172366
41,11-9121.01,0.3608706683699348
42,11-9121.02,0.49878119972882706
43,11-9131.00,0.5405546691782408
44,11-9141.00,0.5322862213667084
45,11-9151.00,0.1588570893392509
46,11-9161.00,0.24041273611770778
47,11-9199.01,0.515376398462841
48,11-9199.02,0.428900004420877
49,11-9199.03,0.5117047892418587
50,11-9199.04,0.4579035277751179
51,11-9199.07,0.24549314926517937
52,11-9199.08,0.2552675685276322
53,11-9199.09,0.27004224568529595
54,11-9199.10,0.4578743404408469
55,11-9199.11,0.44886221585890523
56,13-1011.00,0.26045159085060393
57,13-1021.00,0.45544120417752015
58,13-1022.00,0.3112283597596033
59,13-1023.00,0.42303652281348786
60,13-1031.01,0.505853429013517
61,13-1031.02,0.6386412485551843
62,13-1032.00,0.5548491172695122
63,13-1041.01,0.5120885196728829
64,13-1041.02,0.45065890965484284
65,13-1041.03,0.3559414232826317
66,13-1041.04,0.4450915172825875
67,13-1041.06,0.23152387745424252
68,13-1041.07,0.4965699428188163
69,13-1051.00,0.5899500792193552
70,13-1071.00,0.5344250520719805
71,13-1074.00,0.6081182538888201
72,13-1075.00,0.2802358621348235
73,13-1081.00,0.4027637442320521
74,13-1081.01,0.36674602350315116
75,13-1081.02,0.565948601776761
76,13-1111.00,0.49217424836153895
77,13-1121.00,0.2053530831519372
78,13-1131.00,0.2779975015570891
79,13-1141.00,0.5042936007780382
80,13-1151.00,0.36025709753616014
81,13-1161.00,0.6155580078845387
82,13-1199.01,0.45586256959208854
83,13-1199.02,0.49302428796023234
84,13-1199.03,0.6936010112670494
85,13-1199.04,0.4487587503207634
86,13-1199.05,0.5750278023179056
87,13-1199.06,0.6526310354893438
88,13-2011.01,0.6798104450557644
89,13-2011.02,0.5293681825420311
90,13-2021.01,0.6262988067767776
91,13-2021.02,0.8249484692505699
92,13-2031.00,0.7428999356941258
93,13-2041.00,0.6688236937086119
94,13-2051.00,0.7344991542571229
95,13-2052.00,0.5517360778590161
96,13-2053.00,0.7522963117133904
97,13-2061.00,0.5050986085539297
