索引,互补性水平
0,0.804347826
1,0.894632207
2,0.779324056
3,0.735586481
4,0.711729622
5,0.711729622
6,0.765407555
7,0.73359841
8,0.642147117
9,0.689860835
10,0.578528827
11,0.554671968
12,0.671968191
13,0.566600398
14,0.550695825
15,0.444874275
16,0.16500994
17,0.351888668
18,0.590457256
19,0.602739726
20,0.284090909
21,0.269306931
22,0.34194831
23,0.208747515
24,0.249011858
25,0.234592445
26,0.170974155
27,0.192842942
28,0.282398453
29,0.230616302
30,0.260437376
31,0.216699801
32,0.289883268
33,0.272365805
34,0.307692308
35,0.270377734
36,0.147117296
37,0.299242424
38,0.293069307
39,0.64612326
40,0.393638171
41,0.341846758
42,0.129224652
43,0.121272366
44,0.163021869
45,0.161033797
46,0.228628231
47,0.27833002
48,0.135188867
49,0.7972167
50,0.813121272
51,0.801192843
52,0.895256917
53,0.777335984
54,0.819085487
55,0.530815109
56,0.389662028
57,0.741550696
58,0.741550696
59,0.660039761
60,0.685884692
61,0.737574553
62,0.701789264
63,0.775347913
64,0.711729622
65,0.691848907
66,0.731610338
67,0.671968191
68,0.514910537
69,0.415506958
70,0.168986083
71,0.087475149
72,0.50695825
73,0.208747515
74,0.17693837
75,0.127236581
76,0.192842942
77,0.117296223
78,0.260437376
79,0.723658052
80,0.640159046
81,0.630218688
82,0.699801193
83,0.473161034
84,0.445328032
85,0.632206759
86,0.568588469
87,0.644135189
88,0.499005964
89,0.479125249
90,0.662745098
91,0.524850895
92,0.294234592
93,0.290258449
94,0.230616302
95,0.64612326
96,0.248508946
97,0.258449304
98,0.149105368
99,0.168986083
100,0.51888668
101,0.24055666
102,0.302186879
103,0.306163022
104,0.554671968
105,0.542743539
106,0.385685885
107,0.330019881
108,0.4055666
109,0.50695825
110,0.775347913
111,0.508946322
112,0.31610338
113,0.425447316
114,0.491053678
115,0.381709742
116,0.50695825
117,0.467196819
118,0.65805169
119,0.763419483
120,0.475247525
121,0.62027833
122,0.264478764
123,0.467196819
124,0.598409543
125,0.681908549
126,0.568588469
127,0.664015905
128,0.703777336
129,0.622266402
130,0.745136187
131,0.602385686
132,0.639053254
133,0.727634195
134,0.286282306
135,0.280318091
136,0.208747515
137,0.159045726
138,0.71969697
139,0.222664016
140,0.135188867
141,0.244532803
142,0.676356589
143,0.699801193
144,0.754455446
145,0.715705765
146,0.75944334
147,0.465208748
148,0.530815109
149,0.612326044
150,0.612326044
151,0.552683897
152,0.602385686
153,0.542743539
154,0.540755467
155,0.566600398
156,0.612326044
157,0.644135189
158,0.528827038
159,0.48111332
160,0.778656126
161,0.869565217
162,0.768774704
163,0.752964427
164,0.703557312
165,0.839920949
166,0.804347826
167,0.660079051
168,0.717391304
169,0.681818182
170,0.626482213
171,0.711462451
172,0.614624506
173,0.567193676
